index,pruid,prname,prnameFR,sdate,numconf,numprob,numdeaths,numtotal,numtoday,ratetotal
368,61,Northwest Territories,Territoires du Nord-Ouest,3/31/2020,1,0,0,1,0,2.23
369,62,Nunavut,Nunavut,3/31/2020,0,0,0,0,0,0
370,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/31/2020,13,0,0,13,0,
371,1,Canada,Canada,3/31/2020,8536,12,96,8548,1111,22.74
372,59,British Columbia,Colombie-Britannique,4/1/2020,1066,0,25,1066,96,21.02
373,48,Alberta,Alberta,4/1/2020,754,0,9,754,0,17.25
374,47,Saskatchewan,Saskatchewan,4/1/2020,193,0,3,193,9,16.43
375,46,Manitoba,Manitoba,4/1/2020,109,18,1,127,24,9.27
376,35,Ontario,Ontario,4/1/2020,2392,0,37,2392,426,16.42
377,24,Quebec,QuÃ©bec,4/1/2020,4611,0,33,4611,449,54.34
378,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/1/2020,175,0,1,175,23,33.55
379,13,New Brunswick,Nouveau-Brunswick,4/1/2020,81,0,0,81,11,10.43
380,12,Nova Scotia,Nouvelle-Ã‰cosse,4/1/2020,173,0,0,173,26,17.81
381,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,4/1/2020,21,0,0,21,0,13.38
382,60,Yukon,Yukon,4/1/2020,5,0,0,5,0,12.24
383,61,Northwest Territories,Territoires du Nord-Ouest,4/1/2020,2,0,0,2,1,4.46
384,62,Nunavut,Nunavut,4/1/2020,0,0,0,0,0,0
271,35,Ontario,Ontario,3/25/2020,688,0,13,688,100,4.72
272,24,Quebec,QuÃ©bec,3/25/2020,1339,0,6,1339,326,15.78
273,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/25/2020,67,0,0,67,32,12.85
274,13,New Brunswick,Nouveau-Brunswick,3/25/2020,26,0,0,26,8,3.35
275,12,Nova Scotia,Nouvelle-Ã‰cosse,3/25/2020,68,0,0,68,17,7
276,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/25/2020,5,0,0,5,2,3.19
277,60,Yukon,Yukon,3/25/2020,3,0,0,3,1,7.34
278,61,Northwest Territories,Territoires du Nord-Ouest,3/25/2020,1,0,0,1,0,2.23
279,62,Nunavut,Nunavut,3/25/2020,0,0,0,0,0,0
280,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/25/2020,13,0,0,13,0,
281,1,Canada,Canada,3/25/2020,3385,24,35,3409,617,9.07
282,59,British Columbia,Colombie-Britannique,3/26/2020,725,0,14,725,66,14.3
